time,q,prcp,et
2009/5/13 3:00,49,0.1,0.1
2009/5/13 4:00,49,0.1,0.1
2009/5/13 5:00,49,0.1,0.1
2009/5/13 6:00,53.1,0.1,0.1
2009/5/13 7:00,53.1,0,0.1
2009/5/13 8:00,53.1,0,0.1
2009/5/13 9:00,53.1,0.3,0.1
2009/5/13 10:00,52.25,0.4,0.1
2009/5/13 11:00,51.4,0.9,0.1
2009/5/13 12:00,51.4,1.3,0.1
2009/5/13 13:00,50.5,0.6,0.1
2009/5/13 14:00,49.65,0.5,0.1
2009/5/13 15:00,46.2,0.6,0.1
2009/5/13 16:00,46.2,0.6,0.1
2009/5/13 17:00,46.2,0.9,0.1
2009/5/13 18:00,46.2,1.8,0.1
2009/5/13 19:00,46.2,1.3,0.1
2009/5/13 20:00,46.2,1.1,0.1
2009/5/13 21:00,44.5,0.6,0.1
2009/5/13 22:00,44.5,0.6,0.1
2009/5/13 23:00,44.5,0.5,0.1
2009/5/14 0:00,44.5,0.5,0
2009/5/14 1:00,44.3,1,0
2009/5/14 2:00,44.1,1,0
2009/5/14 3:00,43.9,0.5,0
2009/5/14 4:00,43.7,0.8,0
2009/5/14 5:00,39.8,0.5,0
2009/5/14 6:00,39.8,0.6,0
2009/5/14 7:00,39.8,1.7,0
2009/5/14 8:00,39.8,4.1,0
2009/5/14 9:00,42.96666667,3.2,0
2009/5/14 10:00,46.13333333,3,0
2009/5/14 11:00,49.3,2.1,0
2009/5/14 12:00,52.46666667,1.8,0
2009/5/14 13:00,55.63333333,1.2,0
2009/5/14 14:00,58.8,1.2,0
2009/5/14 15:00,77.6,0.8,0
2009/5/14 16:00,106,0.6,0
2009/5/14 17:00,120.5,0.3,0
2009/5/14 18:00,135,0.3,0
2009/5/14 19:00,142.5,0.1,0
2009/5/14 20:00,150,0.3,0
2009/5/14 21:00,160,0.5,0
2009/5/14 22:00,178,0.6,0
2009/5/14 23:00,208,1.5,0
2009/5/15 0:00,238,1.2,0
2009/5/15 1:00,328,0.8,0
2009/5/15 2:00,418,1,0
2009/5/15 3:00,466,1.4,0
2009/5/15 4:00,473,1.8,0
2009/5/15 5:00,480.5,2.8,0
2009/5/15 6:00,488,2.4,0
2009/5/15 7:00,488,2,0
2009/5/15 8:00,488,1.8,0
2009/5/15 9:00,484,0.3,0
2009/5/15 10:00,480,0.3,0
2009/5/15 11:00,473,0.1,0
2009/5/15 12:00,466,0.1,0
2009/5/15 13:00,453.75,0.1,0
2009/5/15 14:00,441.5,0.1,0
2009/5/15 15:00,429.25,0,0
2009/5/15 16:00,417,0,0
2009/5/15 17:00,417,0,0
2009/5/15 18:00,417,0,0
2009/5/15 19:00,417,0,0
2009/5/15 20:00,417,0,0
2009/5/15 21:00,412.25,0,0
2009/5/15 22:00,407.5,0,0
2009/5/15 23:00,402.75,0,0
2009/5/16 0:00,398,0,0.2
2009/5/16 1:00,382.6666667,0,0.2
2009/5/16 2:00,367.3333333,0,0.2
2009/5/16 3:00,352,0,0.2
2009/5/16 4:00,336.6666667,0,0.2
2009/5/16 5:00,321.3333333,0,0.2
2009/5/16 6:00,306,0,0.2
2009/5/16 7:00,298.5,0,0.2
2009/5/16 8:00,291,0,0.2
2009/5/16 9:00,289,0,0.2
2009/5/16 10:00,287,0,0.2
2009/5/16 11:00,275.5,0,0.2
2009/5/16 12:00,264,0,0.2
2009/5/16 13:00,256.125,0,0.2
2009/5/16 14:00,248.25,0,0.2
2009/5/16 15:00,240.375,0,0.2
2009/5/16 16:00,232.5,0,0.2
2009/5/16 17:00,224.625,0,0.2
2009/5/16 18:00,216.75,0,0.2
2009/5/16 19:00,208.875,0,0.2
2009/5/16 20:00,201,0.1,0.2
2009/5/16 21:00,194.1666667,0,0.2
2009/5/16 22:00,187.3333333,0,0.2
2009/5/16 23:00,180.5,0,0.2
2009/5/17 0:00,173.6666667,0,0.2
2009/5/17 1:00,166.8333333,0,0.2
