time,q,prcp,et
2011/9/16 1:00,187.1,0.0,0
2011/9/16 2:00,184.8,0.0,0
2011/9/16 3:00,182.5,0.0,0
2011/9/16 4:00,180.2,0.0,0
2011/9/16 5:00,177.9,0.0,0
2011/9/16 6:00,175.6,0.0,0
2011/9/16 7:00,173.3,0.0,0
2011/9/16 8:00,171,0.0,0
2011/9/16 9:00,169.1666667,0.1,0
2011/9/16 10:00,167.3333333,0.1,0
2011/9/16 11:00,165.5,0.3,0
2011/9/16 12:00,163.6666667,0.3,0
2011/9/16 13:00,161.8333333,0.6,0
2011/9/16 14:00,160,0.4,0
2011/9/16 15:00,159,1.7,0
2011/9/16 16:00,158,0.7,0
2011/9/16 17:00,157,0.4,0
2011/9/16 18:00,156,0.2,0
2011/9/16 19:00,155,0.3,0
2011/9/16 20:00,154,0.3,0
