time,q,prcp,et
2009/5/27 18:00,20,3.5,0
2009/5/27 19:00,26.1,2.4,0
2009/5/27 20:00,49.6,1.9,0
2009/5/27 21:00,79.8,0.6,0
2009/5/27 22:00,91.5,0.4,0
2009/5/27 23:00,94,0.3,0
2009/5/28 0:00,96.5,0.2,0
2009/5/28 1:00,99.66666667,0.3,0
2009/5/28 2:00,102.8333333,0.3,0
2009/5/28 3:00,106,0.2,0
2009/5/28 4:00,112,0.1,0
2009/5/28 5:00,245.5,0.2,0
2009/5/28 6:00,379,0.2,0
2009/5/28 7:00,473,0.2,0
2009/5/28 8:00,516,0.1,0
2009/5/28 9:00,537,0.3,0
2009/5/28 10:00,532.3333333,0.3,0
2009/5/28 11:00,527.6666667,0.3,0
2009/5/28 12:00,523,0.7,0
2009/5/28 13:00,495,0.4,0
2009/5/28 14:00,480,0.3,0
2009/5/28 15:00,455.5,0,0
2009/5/28 16:00,431,0,0
2009/5/28 17:00,415,0,0
2009/5/28 18:00,399,0,0
2009/5/28 19:00,383,0,0
2009/5/28 20:00,367,0,0
2009/5/28 21:00,344,0,0
2009/5/28 22:00,321,0,0
2009/5/28 23:00,309,0,0
2009/5/29 0:00,297,0,0.1
2009/5/29 1:00,285,0,0.1
2009/5/29 2:00,273,0,0.1
2009/5/29 3:00,266.5,0,0.1
2009/5/29 4:00,260,0,0.1
2009/5/29 5:00,242,0,0.1
2009/5/29 6:00,231,0,0.1
2009/5/29 7:00,220,0,0.1
2009/5/29 8:00,209,0,0.1
2009/5/29 9:00,203,0,0.1
2009/5/29 10:00,197,0,0.1
2009/5/29 11:00,195,0,0.1
2009/5/29 12:00,193,0,0.1
2009/5/29 13:00,187.5,0,0.1
2009/5/29 14:00,182,0,0.1
2009/5/29 15:00,176.5,0,0.1
2009/5/29 16:00,171,0,0.1
2009/5/29 17:00,165.5,0,0.1
2009/5/29 18:00,160,0,0.1
2009/5/29 19:00,157,0,0.1
2009/5/29 20:00,154,0,0.1
2009/5/29 21:00,150,0,0.1
2009/5/29 22:00,146,0,0.1
2009/5/29 23:00,142,0,0.1
2009/5/30 0:00,138,0,0.3
2009/5/30 1:00,134,0,0.3
2009/5/30 2:00,130,0,0.3
2009/5/30 3:00,126,0,0.3
2009/5/30 4:00,122,0,0.3
2009/5/30 5:00,118,0,0.3
2009/5/30 6:00,114,0,0.3
2009/5/30 7:00,110,0,0.3
2009/5/30 8:00,106,0,0.3
2009/5/30 9:00,102.375,0,0.3
2009/5/30 10:00,98.75,0,0.3
2009/5/30 11:00,95.125,0,0.3
2009/5/30 12:00,91.5,0,0.3
2009/5/30 13:00,89.4875,0,0.3
2009/5/30 14:00,87.475,0,0.3
2009/5/30 15:00,85.4625,0,0.3
2009/5/30 16:00,83.45,0,0.3
2009/5/30 17:00,81.4375,0,0.3
2009/5/30 18:00,79.425,0,0.3
2009/5/30 19:00,77.4125,0,0.3
2009/5/30 20:00,75.4,0,0.3
2009/5/30 21:00,73.85833333,0,0.3
2009/5/30 22:00,72.31666667,0,0.3
2009/5/30 23:00,70.775,0,0.3
2009/5/31 0:00,69.23333333,0,0.2
2009/5/31 1:00,67.69166667,0,0.2
2009/5/31 2:00,66.15,0,0.2
2009/5/31 3:00,64.60833333,0,0.2
2009/5/31 4:00,63.06666667,0,0.2
2009/5/31 5:00,61.525,0,0.2
2009/5/31 6:00,59.98333333,0,0.2
2009/5/31 7:00,58.44166667,0,0.2
2009/5/31 8:00,56.9,0,0.2
2009/5/31 9:00,55.9875,0,0.2
2009/5/31 10:00,55.075,0,0.2
2009/5/31 11:00,54.1625,0,0.2
2009/5/31 12:00,53.25,0,0.2
2009/5/31 13:00,52.3375,0,0.2
2009/5/31 14:00,51.425,0,0.2
2009/5/31 15:00,50.5125,0,0.2
2009/5/31 16:00,49.6,0,0.2
2009/5/31 17:00,48.325,0,0.2
2009/5/31 18:00,47.05,0,0.2
2009/5/31 19:00,45.775,0,0.2
2009/5/31 20:00,44.5,0,0.2
2009/5/31 21:00,43.7,0,0.2
2009/5/31 22:00,42.9,0,0.2
2009/5/31 23:00,42.1,0,0.2
2009/6/1 0:00,41.3,0,0.3
2009/6/1 1:00,40.925,0,0.3
2009/6/1 2:00,40.55,0,0.3
2009/6/1 3:00,40.175,0,0.3
2009/6/1 4:00,39.8,0,0.3
2009/6/1 5:00,38.75,0,0.3
2009/6/1 6:00,37.7,0,0.3
2009/6/1 7:00,36.65,0,0.3
2009/6/1 8:00,35.6,0,0.3
