时间,降雨量,时段
2011-09-11 02:00:00,3.4,3
2011-09-11 03:00:00,0.6,1
2011-09-11 04:00:00,2.8,1
2011-09-11 08:00:00,7.4,4
2011-09-11 10:00:00,0.4,2
2011-09-11 12:00:00,1.6,1
2011-09-11 13:00:00,2.8,1
2011-09-11 14:00:00,0.2,1
2011-09-11 15:00:00,0.6,1
2011-09-11 16:00:00,4.6,1
2011-09-11 17:00:00,5.0,1
2011-09-11 18:00:00,5.0,1
2011-09-11 19:00:00,3.6,1
2011-09-11 20:00:00,3.8,1
2011-09-12 02:00:00,12.6,6
2011-09-12 08:00:00,3.6,6
2011-09-12 09:00:00,0.4,1
2011-09-12 17:00:00,0.2,1
2011-09-13 02:00:00,4.4,4
2011-09-13 04:00:00,2.8,2
2011-09-13 05:00:00,2.8,1
2011-09-13 07:00:00,2.8,2
2011-09-13 08:00:00,3.2,1
2011-09-13 09:00:00,3.8,1
2011-09-13 10:00:00,2.8,1
2011-09-13 12:00:00,4.8,2
2011-09-13 13:00:00,3.2,1
2011-09-13 14:00:00,2.0,1
2011-09-13 16:00:00,1.8,2
2011-09-13 17:00:00,3.0,1
2011-09-13 18:00:00,1.2,1
2011-09-13 19:00:00,3.0,1
2011-09-13 20:00:00,5.6,1
2011-09-13 21:00:00,2.8,1
2011-09-14 02:00:00,6.0,5
2011-09-14 03:00:00,0.2,1
2011-09-14 10:00:00,0.6,2
2011-09-14 17:00:00,2.6,3
2011-09-14 23:00:00,0.2,1
2011-09-17 02:00:00,2.2,2
2011-09-17 05:00:00,4.0,3
2011-09-17 06:00:00,2.8,1
2011-09-17 07:00:00,4.2,1
2011-09-17 08:00:00,3.4,1
2011-09-17 13:00:00,8.0,5
2011-09-17 14:00:00,2.6,1
2011-09-17 20:00:00,11.2,6
