时间,降雨量,时段
2011-09-11 00:00:00,4.0,4
2011-09-11 02:00:00,7.2,2
2011-09-11 04:00:00,4.1,2
2011-09-11 06:00:00,5.3,2
2011-09-11 08:00:00,8.1,2
2011-09-11 10:00:00,2.9,2
2011-09-11 12:00:00,5.1,2
2011-09-11 14:00:00,18.1,2
2011-09-11 16:00:00,6.1,2
2011-09-11 18:00:00,9.5,2
2011-09-11 20:00:00,7.3,2
2011-09-11 22:00:00,2.8,2
2011-09-12 00:00:00,6.1,2
2011-09-12 02:00:00,5.4,2
2011-09-12 08:00:00,7.8,6
2011-09-13 08:00:00,2.5,4
2011-09-13 10:00:00,5.2,2
2011-09-13 14:00:00,2.2,4
2011-09-13 20:00:00,6.0,6
2011-09-14 02:00:00,4.7,6
2011-09-16 06:00:00,0.6,2
2011-09-16 14:00:00,4.2,4
2011-09-16 16:00:00,4.1,2
2011-09-16 20:00:00,1.1,2
2011-09-16 22:00:00,0.5,2
2011-09-17 02:00:00,6.4,2
2011-09-17 08:00:00,6.3,6
2011-09-17 14:00:00,6.5,6
2011-09-17 16:00:00,5.3,2
2011-09-17 20:00:00,5.9,4
