时间,降雨量,时段
2011-09-11 00:00:00,1.2,1
2011-09-11 01:00:00,3.6,1
2011-09-11 02:00:00,4.2,1
2011-09-11 08:00:00,8.8,6
2011-09-11 10:00:00,0.4,2
2011-09-11 14:00:00,2.6,3
2011-09-11 20:00:00,6.2,5
2011-09-12 02:00:00,10.2,6
2011-09-12 06:00:00,3.0,4
2011-09-12 08:00:00,0.2,1
2011-09-12 14:00:00,2.2,6
2011-09-12 16:00:00,0.2,1
2011-09-12 18:00:00,0.2,1
2011-09-12 22:00:00,0.2,1
2011-09-13 02:00:00,0.2,1
2011-09-13 05:00:00,3.8,3
2011-09-13 06:00:00,3.0,1
2011-09-13 08:00:00,4.2,2
2011-09-13 09:00:00,2.8,1
2011-09-13 10:00:00,3.2,1
2011-09-13 11:00:00,2.8,1
2011-09-13 12:00:00,3.4,1
2011-09-13 13:00:00,3.2,1
2011-09-13 14:00:00,3.2,1
2011-09-13 15:00:00,0.2,1
2011-09-13 16:00:00,2.8,1
2011-09-13 17:00:00,3.4,1
2011-09-13 19:00:00,4.0,2
2011-09-13 20:00:00,4.8,1
2011-09-13 21:00:00,5.2,1
2011-09-13 22:00:00,3.4,1
2011-09-13 23:00:00,4.2,1
2011-09-14 00:00:00,4.4,1
2011-09-14 02:00:00,2.0,2
2011-09-14 04:00:00,0.2,1
2011-09-14 08:00:00,0.8,1
2011-09-14 10:00:00,1.2,2
2011-09-14 12:00:00,0.2,1
2011-09-14 19:00:00,3.2,5
2011-09-14 22:00:00,0.2,1
2011-09-15 03:00:00,1.2,1
