时间,降雨量,时段
2011-09-11 02:00:00,8.0,6.0
2011-09-11 08:00:00,8.4,6.0
2011-09-11 14:00:00,10.0,6.0
2011-09-11 20:00:00,21.8,6.0
2011-09-12 02:00:00,12.5,6.0
2011-09-12 08:00:00,3.3,6.0
2011-09-13 08:00:00,7.2,6.0
2011-09-13 14:00:00,14.0,6.0
2011-09-13 20:00:00,8.0,6.0
2011-09-14 02:00:00,4.6,6.0
2011-09-14 14:00:00,0.8,6.0
2011-09-14 20:00:00,1.0,6.0
2011-09-16 14:00:00,0.8,6.0
2011-09-16 20:00:00,5.2,6.0
2011-09-17 02:00:00,3.0,6.0
2011-09-17 08:00:00,7.0,6.0
2011-09-17 14:00:00,4.4,6.0
2011-09-17 20:00:00,8.4,6.0
