时间,降雨量,时段
2011-09-11 02:00:00,2.4,6
2011-09-11 05:00:00,2.2,3
2011-09-11 06:00:00,3.0,1
2011-09-11 07:00:00,2.8,1
2011-09-11 08:00:00,1.4,1
2011-09-11 10:00:00,0.4,2
2011-09-11 12:00:00,1.6,1
2011-09-11 13:00:00,5.0,1
2011-09-11 14:00:00,0.4,1
2011-09-11 16:00:00,2.2,2
2011-09-11 17:00:00,4.2,1
2011-09-11 18:00:00,3.2,1
2011-09-11 19:00:00,3.2,1
2011-09-11 20:00:00,2.6,1
2011-09-12 02:00:00,10.6,6
2011-09-12 08:00:00,2.8,6
2011-09-12 09:00:00,1.2,1
2011-09-13 02:00:00,3.6,4
2011-09-13 08:00:00,8.8,6
2011-09-13 09:00:00,3.4,1
2011-09-13 10:00:00,5.0,1
2011-09-13 11:00:00,2.8,1
2011-09-13 12:00:00,2.4,1
2011-09-13 13:00:00,3.0,1
2011-09-13 14:00:00,0.8,1
2011-09-13 16:00:00,0.8,2
2011-09-13 17:00:00,2.6,1
2011-09-13 19:00:00,3.2,2
2011-09-13 20:00:00,4.0,1
2011-09-14 02:00:00,6.0,6
2011-09-14 10:00:00,0.2,1
2011-09-14 12:00:00,0.6,1
2011-09-14 18:00:00,2.6,4
2011-09-16 11:00:00,0.2,1
2011-09-16 15:00:00,1.6,1
2011-09-17 01:00:00,2.4,2
2011-09-17 02:00:00,4.2,1
2011-09-17 06:00:00,5.4,4
2011-09-17 07:00:00,3.0,1
2011-09-17 08:00:00,1.8,1
2011-09-17 14:00:00,6.0,6
2011-09-17 20:00:00,8.6,6
