时间,降雨量,时段
2010-08-23 00:00:00,0.8,3
2010-08-23 08:00:00,3.0,5
2010-08-23 09:00:00,2.0,1
2010-08-23 10:00:00,3.6,1
2010-08-23 12:00:00,3.4,2
2010-08-23 13:00:00,3.6,1
2010-08-23 14:00:00,1.8,1
2010-08-23 15:00:00,2.6,1
2010-08-23 20:00:00,3.2,5
2010-08-23 22:00:00,3.6,2
2010-08-23 23:00:00,2.8,1
2010-08-24 00:00:00,3.4,1
2010-08-24 01:00:00,3.6,1
2010-08-24 02:00:00,2.8,1
2010-08-24 05:00:00,6.8,3
2010-08-24 06:00:00,3.0,1
2010-08-24 07:00:00,3.8,1
2010-08-24 08:00:00,3.4,1
2010-08-24 11:00:00,4.4,3
2010-08-24 14:00:00,1.2,2
2010-08-24 16:00:00,1.4,2
