时间,降雨量,时段
2010-08-23 02:00:00,0.4,4.0
2010-08-23 04:00:00,0.3,2.0
2010-08-23 06:45:00,0.3,1.05
2010-08-23 07:00:00,0.7,0.15
2010-08-23 08:00:00,0.6,1.0
2010-08-23 08:20:00,0.4,0.2
2010-08-23 09:00:00,2.1,0.4
2010-08-23 09:50:00,2.1,0.5
2010-08-23 10:00:00,0.1,0.1
2010-08-23 10:25:00,0.3,0.25
2010-08-23 11:00:00,1.0,0.35
2010-08-23 11:20:00,0.9,0.2
2010-08-23 11:30:00,0.9,0.1
2010-08-23 12:00:00,0.7,0.3
2010-08-23 13:00:00,3.9,1.0
2010-08-23 14:00:00,2.7,1.0
2010-08-23 14:25:00,2.0,0.25
2010-08-23 14:40:00,1.0,0.15
2010-08-23 15:00:00,0.6,0.2
2010-08-23 16:00:00,0.9,1.0
2010-08-23 16:20:00,0.1,0.2
2010-08-23 17:00:00,1.0,0.4
2010-08-23 18:00:00,0.6,1.0
2010-08-23 19:00:00,0.2,1.0
2010-08-23 20:00:00,2.3,1.0
2010-08-23 21:00:00,1.5,1.0
2010-08-23 21:30:00,0.6,0.3
2010-08-23 22:00:00,1.1,0.3
2010-08-23 22:02:00,0.1,0.02
2010-08-23 22:30:00,1.9,0.28
2010-08-23 23:00:00,1.1,0.3
2010-08-23 23:30:00,1.8,0.3
2010-08-24 00:00:00,1.2,0.3
2010-08-24 01:00:00,3.2,1.0
2010-08-24 01:10:00,0.8,0.1
2010-08-24 01:30:00,1.6,0.2
2010-08-24 02:00:00,1.1,0.3
2010-08-24 02:40:00,1.0,0.4
2010-08-24 03:00:00,0.8,0.2
2010-08-24 03:40:00,2.6,0.4
2010-08-24 04:00:00,0.8,0.2
2010-08-24 04:47:00,2.0,0.47
2010-08-24 05:00:00,0.7,0.13
2010-08-24 06:00:00,2.5,1.0
2010-08-24 06:30:00,1.8,0.3
2010-08-24 06:45:00,0.5,0.15
2010-08-24 07:00:00,1.0,0.15
2010-08-24 08:00:00,2.8,1.0
2010-08-24 08:17:00,0.5,0.17
2010-08-24 09:00:00,2.5,0.43
2010-08-24 10:00:00,1.9,1.0
2010-08-24 11:00:00,0.6,1.0
2010-08-24 12:00:00,0.2,1.0
2010-08-24 13:00:00,0.4,1.0
2010-08-24 14:00:00,1.2,1.0
2010-08-24 14:27:00,0.7,0.27
2010-08-24 15:00:00,0.1,0.33
2010-08-24 16:00:00,0.3,1.0
2010-08-24 17:00:00,0.1,1.0
2010-08-24 23:00:00,0.1,1.0
2010-08-25 16:00:00,0.1,1.0
2010-08-25 19:00:00,0.1,0.2
