时间,降雨量,时段
2010-08-23 00:00:00,0.6,3
2010-08-23 08:00:00,4.0,4
2010-08-23 09:00:00,3.2,1
2010-08-23 10:00:00,2.6,1
2010-08-23 14:00:00,7.0,4
2010-08-23 15:00:00,3.4,1
2010-08-23 20:00:00,3.8,5
2010-08-23 23:00:00,4.4,3
2010-08-24 00:00:00,3.2,1
2010-08-24 01:00:00,3.4,1
2010-08-24 02:00:00,2.4,1
2010-08-24 04:00:00,4.6,2
2010-08-24 05:00:00,3.2,1
2010-08-24 08:00:00,6.2,3
2010-08-24 09:00:00,2.8,1
2010-08-24 10:00:00,2.6,1
2010-08-24 11:00:00,1.0,1
2010-08-24 14:00:00,1.2,2
2010-08-24 17:00:00,2.2,3
2010-08-25 00:00:00,0.4,2
2010-08-25 07:00:00,0.2,1
2010-08-26 17:00:00,3.8,1
2010-08-27 15:00:00,0.4,1
