时间,降雨量,时段
2010-08-22 21:00:00,0.1,1
2010-08-23 08:00:00,5.0,5
2010-08-23 09:00:00,2.7,1
2010-08-23 10:00:00,6.8,1
2010-08-23 14:00:00,6.3,4
2010-08-23 20:00:00,9.3,6
2010-08-23 21:00:00,0.6,1
2010-08-23 22:00:00,3.2,1
2010-08-24 01:00:00,5.3,3
2010-08-24 02:00:00,6.3,1
2010-08-24 03:00:00,5.9,1
2010-08-24 04:00:00,4.6,1
2010-08-24 05:00:00,5.4,1
2010-08-24 06:00:00,4.2,1
2010-08-24 07:00:00,8.0,1
2010-08-24 08:00:00,4.3,1
2010-08-24 09:00:00,2.5,1
2010-08-24 10:00:00,3.5,1
2010-08-24 11:00:00,3.7,1
2010-08-24 14:00:00,5.0,3
2010-08-24 15:00:00,5.2,1
2010-08-24 20:00:00,7.5,5
2010-08-25 02:00:00,5.6,6
2010-08-25 08:00:00,6.8,6
2010-08-25 12:00:00,0.3,2
