时间,降雨量,时段
2010/8/22 22:00,0.2,1
2010/8/22 23:59,0.2,0.59
2010/8/23 8:00,4.8,4
2010/8/23 9:00,2.2,1
2010/8/23 10:00,3.4,1
2010/8/23 14:00,5.2,4
2010/8/23 15:00,2.4,1
2010/8/23 16:00,2.8,1
2010/8/23 20:00,2.8,4
2010/8/23 23:00,4.8,3
2010/8/24 0:00,3.6,1
2010/8/24 1:00,3.6,1
2010/8/24 2:00,3,1
2010/8/24 3:00,1.4,1
2010/8/24 4:00,2.6,1
2010/8/24 5:00,3.8,1
2010/8/24 6:00,3.4,1
2010/8/24 7:00,2.4,1
2010/8/24 8:00,2.6,1
2010/8/24 9:00,3,1
2010/8/24 10:00,2.6,1
2010/8/24 14:00,3,4
2010/8/24 19:00,3,5
2010/8/25 1:00,1.8,5
2010/8/25 5:00,0.2,1
2010/8/25 9:00,0.2,1
