时间,降雨量,时段
2010-08-22 21:00:00,0.2,1
2010-08-23 08:00:00,4.6,5
2010-08-23 09:00:00,1.8,1
2010-08-23 10:00:00,2.6,1
2010-08-23 14:00:00,3.2,4
2010-08-23 20:00:00,6.6,6
2010-08-24 00:00:00,4.2,4
2010-08-24 01:00:00,2.6,1
2010-08-24 02:00:00,4.4,1
2010-08-24 03:00:00,3.2,1
2010-08-24 04:00:00,3.6,1
2010-08-24 05:00:00,2.2,1
2010-08-24 06:00:00,3.2,1
2010-08-24 07:00:00,3.2,1
2010-08-24 08:00:00,3.6,1
2010-08-24 14:00:00,9.0,6
2010-08-24 20:00:00,6.6,6
2010-08-25 02:00:00,4.8,6
2010-08-25 08:00:00,3.6,6
