时间,降雨量,时段
2009-05-13 14:00:00,3.6,3
2009-05-13 17:00:00,0.6,2
2009-05-13 18:00:00,3.8,1
2009-05-13 20:00:00,2.6,2
2009-05-13 23:00:00,1.8,2
2009-05-14 02:00:00,2.4,2
2009-05-14 04:00:00,1.0,2
2009-05-14 07:00:00,2.6,1
2009-05-14 08:00:00,6.2,1
2009-05-14 09:00:00,2.6,1
2009-05-14 10:00:00,3.2,1
2009-05-14 14:00:00,4.6,4
2009-05-14 17:00:00,2.0,3
2009-05-14 20:00:00,0.2,1
2009-05-14 23:00:00,2.8,1
2009-05-15 02:00:00,1.8,3
2009-05-15 04:00:00,3.2,2
2009-05-15 05:00:00,2.8,1
2009-05-15 08:00:00,2.8,3
2009-05-15 10:00:00,1.0,2
