时间,降雨量,时段
2009-05-13 13:00:00,3.2,1.0
2009-05-13 14:00:00,0.6,1.0
2009-05-13 17:00:00,1.0,3.0
2009-05-13 18:00:00,4.4,1.0
2009-05-13 20:00:00,1.2,2.0
2009-05-14 02:00:00,4.0,5.0
2009-05-14 04:00:00,1.0,2.0
2009-05-14 07:00:00,1.2,2.0
2009-05-14 08:00:00,6.8,1.0
2009-05-14 09:00:00,3.2,1.0
2009-05-14 14:00:00,5.6,5.0
2009-05-14 18:00:00,2.6,4.0
2009-05-14 22:00:00,0.2,1.0
2009-05-14 23:00:00,2.6,1.0
2009-05-15 02:00:00,2.6,3.0
2009-05-15 04:00:00,3.2,2.0
2009-05-15 05:00:00,4.8,1.0
2009-05-15 06:00:00,3.0,1.0
2009-05-15 08:00:00,1.6,2.0
2009-05-15 09:00:00,0.4,1.0
