时间,降雨量,时段
2009-05-13 06:00:00,0.2,1.0
2009-05-13 10:00:00,0.8,1.0
2009-05-13 11:00:00,3.0,1.0
2009-05-13 14:00:00,4.6,3.0
2009-05-13 17:00:00,0.6,2.0
2009-05-13 18:00:00,3.8,1.0
2009-05-13 20:00:00,2.4,2.0
2009-05-14 02:00:00,2.6,6.0
2009-05-14 03:00:00,0.6,1.0
2009-05-14 04:00:00,3.6,1.0
2009-05-14 06:00:00,2.0,2.0
2009-05-14 07:00:00,3.0,1.0
2009-05-14 08:00:00,5.8,1.0
2009-05-14 09:00:00,2.6,1.0
2009-05-14 14:00:00,5.0,5.0
2009-05-14 16:00:00,0.6,2.0
2009-05-15 02:00:00,2.8,4.0
2009-05-15 03:00:00,2.6,1.0
2009-05-15 05:00:00,3.2,2.0
2009-05-15 06:00:00,2.6,1.0
2009-05-15 08:00:00,3.2,2.0
2009-05-15 10:00:00,0.4,2.0
2009-05-16 20:00:00,1.6,1.0
