时间,降雨量,时段
2009-05-13 04:00:00,0.3,1
2009-05-13 18:00:00,2.8,4
2009-05-13 19:00:00,3.5,1
2009-05-13 20:00:00,0.2,1
2009-05-14 00:00:00,0.8,4
2009-05-14 02:00:00,0.1,1
2009-05-14 07:00:00,0.6,5
2009-05-14 08:00:00,4.6,1
2009-05-14 09:00:00,3.5,1
2009-05-14 10:00:00,3.3,1
2009-05-14 11:00:00,4.7,1
2009-05-14 12:00:00,3.2,1
2009-05-14 14:00:00,3.2,2
2009-05-14 20:00:00,3.2,6
2009-05-15 02:00:00,4.7,4
2009-05-15 04:00:00,2.7,2
2009-05-15 05:00:00,4.1,1
2009-05-15 06:00:00,3.3,1
2009-05-15 08:00:00,4.4,2
2009-05-15 11:00:00,1.1,3
