时间,降雨量,时段
2009-05-13 06:00:00,0.6,2
2009-05-13 10:00:00,0.2,1
2009-05-13 12:00:00,6.4,1
2009-05-13 14:00:00,1.0,2
2009-05-13 20:00:00,7.0,6
2009-05-13 22:00:00,0.4,2
2009-05-14 02:00:00,1.6,3
2009-05-14 03:00:00,0.4,1
2009-05-14 06:00:00,0.4,2
2009-05-14 07:00:00,3.6,1
2009-05-14 08:00:00,7.0,1
2009-05-14 09:00:00,2.6,1
2009-05-14 14:00:00,6.2,5
2009-05-14 16:00:00,2.2,2
2009-05-14 18:00:00,0.2,1
2009-05-14 20:00:00,0.2,1
2009-05-15 02:00:00,4.0,4
2009-05-15 08:00:00,8.8,6
2009-05-15 10:00:00,0.8,2
