时间,降雨量,时段
2009-05-27 02:00:00,0.5,1
2009-05-27 07:00:00,4.9,5
2009-05-27 08:00:00,2.8,1
2009-05-27 09:00:00,1.6,1
2009-05-27 10:00:00,3.1,1
2009-05-27 11:00:00,1.9,1
2009-05-27 12:00:00,4.2,1
2009-05-27 13:00:00,5.9,1
2009-05-27 14:00:00,7.9,1
2009-05-27 15:00:00,7.7,1
2009-05-27 16:00:00,7.1,1
2009-05-27 17:00:00,4.2,1
2009-05-27 18:00:00,3.8,1
2009-05-27 19:00:00,2.3,1
2009-05-27 20:00:00,3.3,1
2009-05-28 02:00:00,4.5,6
2009-05-28 08:00:00,1.5,6
2009-05-28 10:00:00,0.1,1
2009-05-28 14:00:00,3.7,3
2009-05-28 15:00:00,0.1,1
2009-05-29 06:00:00,0.1,4
