时间,降雨量,时段
2009-05-27 08:00:00,5.0,5
2009-05-27 12:00:00,5.9,4
2009-05-27 13:00:00,3.0,1
2009-05-27 14:00:00,6.6,1
2009-05-27 15:00:00,10.1,1
2009-05-27 16:00:00,8.0,1
2009-05-27 17:00:00,8.9,1
2009-05-27 18:00:00,6.5,1
2009-05-27 19:00:00,6.6,1
2009-05-27 20:00:00,4.4,1
2009-05-27 21:00:00,3.5,1
2009-05-28 02:00:00,4.8,5
2009-05-28 08:00:00,1.7,6
2009-05-28 14:00:00,5.5,6
2009-05-28 16:00:00,0.3,2
2009-05-29 02:00:00,0.1,1
2009-05-29 18:00:00,0.1,1
2009-05-31 18:00:00,0.1,1
2009-05-31 21:00:00,0.1,1
2009-06-01 05:00:00,0.1,1
