"q.data.q","Qsim"
32.8,0.02
32.575,3.51
32.35,8.36
32.125,14.1
31.9,20.91
32.5125,29.5
33.125,38.96
33.7375,49.43
34.35,61.19
34.9625,74.82
35.575,89.78
36.1875,105.27
36.8,131.44
42,160.93
230,192.83
286,228.2
345,267.55
364.6666667,310.32
384.3333333,354.21
404,394.71
412,425.42
421,439.69
421,433.91
394.5,410.19
368,375.06
353,336.03
338,299.43
319.5,270.01
301,248.85
288.25,235.03
275.5,227.06
262.75,222.43
250,218.7
236.5,214.58
223,210.52
216.5,207.43
210,204.91
201,202.26
192,199.46
180.5,196.53
169,193.48
163.5,190.34
158,187.12
152.9,183.83
147.8,175.58
142.7,167.5
137.6,159.73
132.5,152.29
127.4,145.21
122.3,138.46
117.2,132.06
112.1,125.98
107,120.2
103.45,114.72
99.9,109.52
96.35,104.58
92.8,99.88
89.25,95.43
85.7,91.19
82.15,87.39
78.6,83.71
77.45,80.2
76.3,76.84
74.1,73.64
71.9,70.59
70.95,67.68
70,64.9
69.05,62.25
68.1,59.74
67.15,57.35
66.2,55.1
65.25,52.98
64.3,51
63.35,49.15
62.4,47.41
61.45,45.76
60.5,44.14
