"q.data.q","Qsim"
20,0.1
26.1,27.39
49.6,58.88
79.8,88.8
91.5,115.97
94,140.44
96.5,162.37
99.66666667,182.74
102.8333333,202.37
106,221.76
112,241.57
245.5,263.44
379,288.77
473,318.83
516,354.03
537,394.92
532.3333333,439.44
527.6666667,482.76
523,518.98
495,537.01
480,527.62
455.5,489.69
431,436.45
415,388.85
399,357.95
383,341.67
367,332.47
344,325.25
321,318.76
309,313.02
297,307.51
285,303.23
273,299.37
266.5,295.11
260,289.99
242,283.18
231,273.5
220,260.29
209,244.18
203,226.79
197,210.6
195,198.06
193,189.31
187.5,182.93
182,177.42
176.5,172.13
171,166.99
165.5,162.01
160,157.19
157,152.53
154,148.01
150,143.65
146,139.42
142,135.34
138,131.37
134,127.53
130,123.81
126,120.21
122,116.72
118,113.35
114,110.08
110,106.92
106,103.87
102.375,100.91
98.75,98.05
95.125,95.28
91.5,92.6
89.4875,90.01
87.475,87.5
85.4625,85.07
83.45,82.71
81.4375,80.43
79.425,78.21
77.4125,76.07
75.4,73.99
73.85833333,71.97
72.31666667,70.02
70.775,68.12
69.23333333,66.28
67.69166667,64.49
66.15,62.75
64.60833333,61.07
63.06666667,59.43
61.525,57.84
59.98333333,56.3
58.44166667,54.8
56.9,53.34
55.9875,51.92
55.075,50.54
54.1625,49.2
53.25,47.9
52.3375,46.63
51.425,45.4
50.5125,44.2
49.6,43.04
48.325,41.91
47.05,40.8
45.775,39.73
44.5,38.69
43.7,37.67
42.9,36.68
42.1,35.72
41.3,34.79
40.925,33.87
40.55,32.99
40.175,32.12
39.8,31.28
38.75,30.47
37.7,29.67
36.65,28.89
35.6,28.14
