"q.data.q","Qsim"
154,0.02
165.5,49.59
177,94.03
188.5,133.7
200,169.69
219.25,203.03
238.5,233.84
257.75,264.15
277,294.35
299.75,323.79
322.5,352.73
345.25,381.57
368,411.19
422.75,441.11
477.5,471.7
532.25,504.29
587,540.03
622,576.48
657,612.66
665.5,649.22
674,684.96
699.5,721.06
725,758.03
789.5,796.94
854,838.28
889,882.96
906,933.36
953,993.37
1000,1064.94
1090,1131.1
1180,1191.83
1235,1247.72
1290,1300.89
1340,1352.54
1390,1401.18
1440,1445.58
1490,1486.67
1522.5,1518.35
1555,1542.69
1587.5,1561.28
1620,1574.36
1630,1581.07
1640,1582.77
1680,1579.59
1680,1571.4
1640,1556.56
1550,1532.88
1505,1500.23
1460,1458.87
1380,1410.79
1300,1356.49
1220,1294.28
1140,1222.98
1071.333333,1143.8
1002.666667,1060.43
934,978.82
880,904.89
867,842.21
854,791.79
781,751.57
708,716.81
691,684.97
674,656.17
643.5,630.24
613,603.89
582.5,578.79
552,554.69
535,532.42
518,510.89
513.5,490.33
509,470.92
478.5,452.54
448,435.02
428,418.32
408,402.42
388,387.28
368,372.85
355.3333333,359.12
342.6666667,346.04
330,333.59
317.3333333,321.73
304.6666667,310.43
292,299.65
273.5,289.36
255,279.51
246.25,270.06
237.5,260.95
228.75,252.17
220,243.72
216.6666667,235.65
213.3333333,227.99
210,220.7
206.6666667,213.7
203.3333333,206.99
200,200.54
197,194.36
194,188.41
191.25,182.69
188.5,177.19
185.75,171.91
183,166.81
177,161.91
173,157.19
169,152.64
165,148.25
163.5833333,144.02
162.1666667,139.94
160.75,136.01
159.3333333,132.2
157.9166667,128.53
156.5,124.98
155.0833333,121.56
153.6666667,118.24
152.25,115.04
150.8333333,111.94
149.4166667,108.94
148,106.04
