"q.data.q","Qsim"
21.8,0.05
24,109.81
26.2,211.12
35.3,309.24
76.5,406.6
203,487.55
503,585.14
539,721.31
1260,848.06
1210,965.7
1120,1092.32
1140,1252.39
1370,1406.92
1500,1505.45
1630,1562.89
1645,1576.79
1660,1569.37
1580,1550.23
1560,1525.22
1560,1494.75
1560,1456.04
1560,1410.7
1510,1363.05
1310,1323.71
1290,1312.69
1250,1284.69
1150,1234.76
1050,1198.64
994,1158.6
908,1103.15
822,1030.28
736,945.39
729,857.88
695,779.32
679,716.61
663,669.97
647,635.29
620,612.32
593,594.7
579,590.59
559,597.1
545,593.95
526.5,581.66
508,562.4
503,537.86
486,509.8
469,480.02
452,449.48
435,417.43
422.75,386.57
410.5,360.49
398.25,340.28
386,324.33
373.75,310.87
361.5,298.97
349.25,288.1
337,277.75
328.5,267.36
320,256.5
313.8333333,245.12
307.6666667,233.76
301.5,223.39
295.3333333,215.07
289.1666667,208.89
283,203.92
273.25,199.46
263.5,195.39
253.75,191.65
244,188.2
237.9166667,185.02
231.8333333,182.08
225.75,179.35
219.6666667,176.8
213.5833333,174.43
207.5,172.21
201.4166667,170.12
195.3333333,168.15
189.25,166.29
183.1666667,164.52
177.0833333,162.84
171,161.24
169.6666667,159.71
168.3333333,158.24
167,156.83
165.6666667,155.47
164.3333333,154.15
163,152.88
160.3333333,151.64
157.6666667,150.44
155,149.26
152.3333333,148.12
149.6666667,147
147,145.91
144.6666667,145.26
142.3333333,144.9
140,144.69
137.6666667,144.12
135.3333333,143.34
133,142.42
130.6666667,141.43
128.3333333,140.4
126,139.38
123.6666667,138.38
121.3333333,137.43
119,136.56
115.8333333,135.79
112.6666667,135.14
109.5,134.62
106.3333333,134.23
103.1666667,133.94
100,133.66
97.96666667,133.25
95.93333333,132.53
93.9,131.36
91.86666667,129.69
89.83333333,127.69
87.8,125.72
86.66666667,124.05
85.53333333,122.77
84.4,121.8
83.26666667,120.96
82.13333333,120.14
81,119.32
79.86666667,118.51
78.73333333,117.71
77.6,116.92
76.46666667,116.13
75.33333333,115.35
74.2,114.58
73.02,113.82
71.84,113.06
70.66,112.31
69.48,111.56
68.3,110.82
67.12,110.09
65.94,109.36
64.76,108.63
63.58,107.92
62.4,107.2
60.4,106.5
58.4,105.79
57.975,105.09
57.55,104.4
57.125,103.71
56.7,103.03
56.275,102.35
55.85,101.68
55.425,101.01
55,100.35
54.575,99.69
54.15,99.03
53.725,98.38
53.3,97.73
53.3,97.09
53.3,96.45
52.74,95.82
52.18,95.19
51.62,94.56
51.06,93.94
50.5,93.33
49.94,92.71
49.38,92.1
48.82,91.5
48.26,90.9
47.7,90.3
47.09166667,89.71
46.48333333,89.12
45.875,88.53
45.26666667,87.95
44.65833333,87.37
44.05,86.8
43.44166667,86.23
42.83333333,85.66
42.225,85.1
41.61666667,84.54
41.00833333,83.99
40.4,83.44
40,82.89
39.6,82.35
39.2,81.8
38.93333333,81.27
38.66666667,80.73
38.4,80.2
38.13333333,79.68
37.86666667,84.19
37.6,96.32
37.33333333,102.64
37.06666667,105.75
36.8,106.73
