"q.data.q","Qsim"
113,0.01
117.5,49.42
122,77.26
127.5,97.83
133,116.35
144,134.5
155,155.1
171,178.49
187,205.02
224.5,231.31
262,261.05
296.5,293.62
331,330.14
368,372.95
405,417.57
449.6666667,459.34
494.3333333,501.29
539,544.44
613,586.39
663.3333333,646.34
713.6666667,728.41
764,786.97
816,827.91
846.5,857.63
877,879.96
914,894.69
914,902.21
910,902.51
906,897.01
895,886.63
884,871.59
838.5,851.4
793,825.78
778.5,794.58
764,761.59
729.5,730.58
695,704.14
681,682.02
667,662.55
645,641.04
623,618.07
601,593.88
579,569.92
562.3333333,547.81
545.6666667,529.58
529,513.82
512.3333333,499.79
495.6666667,485.57
479,473.37
463.5,460.55
448,447.43
432.75,434.21
417.5,421.12
402.25,408.31
387,395.04
375.8333333,382.47
364.6666667,370.34
353.5,358.62
342.3333333,347.48
331.1666667,337.13
320,327.68
309.5,318.98
299,310.64
292.75,302.39
286.5,294.09
280.25,285.71
274,277.34
267.75,269.18
261.5,261.36
255.25,253.88
249,246.71
242.75,240.35
236.5,233.97
230.25,227.66
224,221.47
218.9166667,215.43
213.8333333,209.54
208.75,203.81
203.6666667,198.24
198.5833333,192.83
193.5,187.59
188.4166667,182.51
183.3333333,177.6
178.25,172.86
173.1666667,168.29
168.0833333,163.89
163,159.66
157.25,155.54
151.5,151.51
145.75,147.46
140,143.34
134.75,139.12
129.5,134.86
124.25,130.79
119,127.06
