"q.data.q","Qsim"
149,0
186,192.77
239,354.66
1040,474.33
1290,559.65
1390,618.84
1490,658.35
1530,680.64
1530,691.6
1500,686.62
1460,669.1
1410,637.37
1340,601.66
1315,564.68
1290,528.81
1240,496.35
1190,469.69
1136.666667,451.39
1083.333333,443.94
1030,448.77
981,463.99
940.25,480.52
899.5,478
858.75,436.54
818,378.45
807,326.88
796,295.41
760.5,280.94
725,270.67
689.5,271.36
654,281.77
577,297.95
532,325.51
525.5,377.23
519,441.79
519,510.67
519,579.56
525.5,648.74
532,706.88
565,748.61
598,782.64
622.5,825.1
647,868.21
717.5,921.22
788,985.08
854.5,1050.4
921,1106.41
955,1161.45
989,1224.39
1050,1271.52
1130,1299.13
1145,1302.96
1160,1289.26
1175,1266.99
1190,1240.43
1190,1202.61
1170,1152.06
1140,1091.46
1110,1030.56
1020,970.96
986,919.81
913,886.24
840,869.13
767,853.94
725,827.97
697,806.65
669,775.13
641,724.57
613,669.49
585.5,606.39
558,526.19
530.5,437.67
503,371.36
475.5,327.79
448,299.86
415.8333333,281.27
383.6666667,262.89
351.5,244.65
319.3333333,224.72
287.1666667,201.96
255,182.42
248,167.29
241,156.07
241,148.65
241,144.51
237.5,140.96
234,133.88
230.5,120.76
227,100.84
223.5,81.85
220,69.36
213.5,60.67
207,54.69
200.5,50.2
194,46.23
191.7,42.65
189.4,39.27
187.1,35.79
184.8,32.07
182.5,29.08
180.2,26.72
177.9,24.58
175.6,22.63
173.3,20.87
171,19.26
169.1666667,19.73
167.3333333,21.63
165.5,28.33
163.6666667,38.26
161.8333333,56.01
160,75.07
159,119.51
158,162.04
157,196.34
156,220.16
155,237.94
154,251.1
