"q.data.q","Qsim"
33.6,0
33.6,35.09
33.6,56.32
33.6,73.1
33.6,94.39
33.6,124.78
33.6,187.9
46.5,261
129,352.06
471,565.83
904,960.26
1110,1379.8
1790,1647.65
1900,1857.37
1790,1979.47
2110,1974.8
2210,1912.9
2170,1821.6
2010,1730.26
1835,1664.25
1660,1604.25
1520,1515.79
1380,1417.09
1220,1333.49
1150,1291.1
1070,1280.76
1010,1273.53
1000,1318.75
1080,1376.13
1290,1461.07
1420,1436.82
1400,1365.02
1270,1459.1
1270,1530.32
1300,1653.92
1300,1194.67
1230,1140.35
1160,955.8
1090,773.2
1004.666667,722.48
919.3333333,672.36
834,635.56
779,632.81
712,625.8
628,595.73
577,567.49
577,542.25
537,526.18
497,510.28
485,484.95
479,494.59
460.5,471.13
442,434.17
423.5,392.66
405,374.09
388.5,361.27
372,348.97
355.5,337.03
339,326.6
330.5,316.97
322,308.04
319,299.75
316,292.04
302.5,291.82
289,295.73
275.5,296.96
262,300.47
249.5,298.08
237,293.12
227,286.67
214,279.54
210,272.3
206,265.21
201.3333333,258.4
196.6666667,251.94
192,245.83
187.3333333,240.07
182.6666667,234.63
178,229.49
178,224.62
178,220.01
184,215.62
190,211.44
192,207.46
194,203.64
198,200.01
202,196.97
198,194.1
194,189.85
192,188.09
190,183.55
184,180.58
178,177.69
172,174.89
166,172.15
164,169.49
162,166.89
160,164.35
158,161.87
156,159.44
154,157.07
152,154.74
150,152.46
148,150.22
146,148.02
144,145.87
142,143.75
139.4166667,141.67
136.8333333,139.62
134.25,137.61
131.6666667,135.63
129.0833333,133.69
126.5,131.77
123.9166667,129.89
121.3333333,128.03
118.75,126.21
116.1666667,124.41
113.5833333,122.64
111,120.9
109.5,119.18
108,117.49
106.5,115.83
105,114.19
103.5,112.57
102,110.98
100.5,109.41
99,107.86
97.5,106.33
96,104.83
94.5,103.35
93,101.89
91.66875,100.45
90.3375,99.03
89.00625,97.64
87.675,96.26
86.34375,94.9
85.0125,93.56
83.68125,92.24
82.35,90.94
81.01875,89.66
79.6875,88.39
78.35625,87.15
77.025,85.92
75.69375,84.71
74.3625,83.51
73.03125,82.34
71.7,81.18
71.7,80.03
71.7,78.9
71.7,77.79
71.7,76.69
71.7,75.61
71.7,74.55
71.7,73.5
71.7,72.46
70.23333333,71.44
68.76666667,70.43
67.3,69.44
66.91428571,68.46
66.52857143,67.5
66.14285714,66.55
65.75714286,65.61
65.37142857,64.68
64.98571429,63.77
64.6,62.87
64.21428571,61.99
63.82857143,61.12
63.44285714,60.25
63.05714286,59.41
62.67142857,58.57
62.28571429,57.74
61.9,56.93
61.51428571,56.13
61.12857143,55.34
60.74285714,54.56
60.35714286,53.79
59.97142857,53.03
59.58571429,52.28
59.2,51.55
58.35833333,50.82
57.51666667,50.1
56.675,49.4
55.83333333,48.7
54.99166667,48.02
54.15,47.34
53.30833333,46.67
52.46666667,46.01
51.625,45.37
50.78333333,44.73
49.94166667,44.1
49.1,43.48
48.84166667,42.86
48.58333333,42.26
48.325,41.66
48.06666667,41.08
47.80833333,40.5
47.55,39.93
47.29166667,39.36
47.03333333,38.81
46.775,38.26
46.51666667,37.72
46.25833333,37.19
46,36.67
