"q.data.q","Qsim"
49,0
49,1.24
49,1.34
53.1,1.28
53.1,1.2
53.1,1.12
53.1,1.68
52.25,2.71
51.4,5.81
51.4,10.67
50.5,12.67
49.65,13.77
46.2,15.14
46.2,16.5
46.2,19.12
46.2,25.69
46.2,30.45
46.2,33.94
44.5,34.86
44.5,35.46
44.5,35.6
44.5,36.5
44.3,39.98
44.1,43.83
43.9,45.23
43.7,47.91
39.8,49.25
39.8,50.95
39.8,58.32
39.8,78.15
42.96666667,95.64
46.13333333,112.36
49.3,125.49
52.46666667,136.33
55.63333333,142.24
58.8,147.5
77.6,148.99
106,148.27
120.5,144.98
135,142.65
142.5,139.41
150,139.58
160,143.9
178,151.92
208,196.35
238,237.99
328,266.46
418,297.86
466,337.74
473,383.58
480.5,448.38
488,496.31
488,527.88
488,552.4
484,534.32
480,514.28
473,491.4
466,471.78
453.75,456.28
441.5,445.12
429.25,435.12
417,428.97
417,426.66
417,427.46
417,430.25
417,433.99
412.25,438.32
407.5,443.48
402.75,446.96
398,442.17
382.6666667,423.27
367.3333333,389.2
352,345.58
336.6666667,303.6
321.3333333,271.68
306,250.99
298.5,239.71
291,233.36
289,228.07
287,223.2
275.5,218.61
264,214.27
256.125,210.16
248.25,206.26
240.375,202.53
232.5,198.96
224.625,195.54
216.75,192.25
208.875,189.08
201,186.03
194.1666667,183.08
187.3333333,180.23
180.5,177.47
173.6666667,174.79
166.8333333,172.19
160,169.66
155.3333333,167.2
150.6666667,164.8
146,162.46
141.3333333,160.17
136.6666667,157.94
132,155.75
128.5,153.62
125,151.52
121.4375,149.47
117.875,147.46
114.3125,145.48
110.75,143.54
107.1875,141.63
103.625,139.76
100.0625,137.92
96.5,136.11
92.75,134.33
89,132.58
87.025,130.86
85.05,129.16
83.075,127.49
81.1,125.84
79.125,124.21
77.15,122.62
75.175,121.04
73.2,119.49
72.1,117.95
71,116.44
69.9,114.95
68.8,113.48
66.775,112.03
64.75,110.61
62.725,109.2
60.7,107.8
59.75,106.43
58.8,105.08
57.85,103.74
56.9,102.42
55.075,101.12
53.25,99.84
51.425,98.57
49.6,97.32
48.75,96.08
47.9,94.86
47.05,93.66
46.2,92.47
