时间,降雨量,时段
2008-07-21 08:00:00,0.6,2
2008-07-21 09:00:00,6.6,1
2008-07-21 10:00:00,10.2,1
2008-07-21 11:00:00,5.2,1
2008-07-21 12:00:00,4.8,1
2008-07-21 14:00:00,3.8,2
2008-07-21 16:00:00,1.6,2
2008-07-21 18:00:00,0.8,1
2008-07-21 19:00:00,3.6,1
2008-07-21 20:00:00,1.6,1
2008-07-21 23:59:00,5.2,3.59
2008-07-22 01:00:00,7,1
2008-07-22 02:00:00,0.6,1
2008-07-22 04:00:00,2,2
2008-07-22 05:00:00,3.6,1
2008-07-22 06:00:00,4.2,1
2008-07-22 07:00:00,4.4,1
2008-07-22 08:00:00,2.2,1
2008-07-22 10:00:00,0.4,2
2008-07-22 19:00:00,2.2,5
