时间,降雨量,时段
2010-07-23 12:00:00,0.2,1
2010-07-23 23:00:00,2.8,3
2010-07-24 00:00:00,4.6,1
2010-07-24 01:00:00,14.2,1
2010-07-24 02:00:00,5.0,1
2010-07-24 03:00:00,18.2,1
2010-07-24 04:00:00,21.2,1
2010-07-24 05:00:00,8.8,1
2010-07-24 06:00:00,40.6,1
2010-07-24 07:00:00,28.4,1
2010-07-24 08:00:00,5.4,1
2010-07-24 09:00:00,6.8,1
2010-07-24 10:00:00,6.8,1
2010-07-24 11:00:00,9.2,1
2010-07-24 12:00:00,4.0,1
2010-07-24 13:00:00,1.4,1
2010-07-24 16:00:00,0.2,1
2010-07-25 00:00:00,0.2,1
2010-07-25 02:00:00,0.2,1
2010-07-25 03:00:00,8.2,1
2010-07-25 04:00:00,2.6,1
2010-07-25 12:00:00,1.0,3
2010-07-25 16:00:00,0.2,1
2010-07-26 02:00:00,0.2,1
2010-07-31 17:00:00,0.4,1
2010-08-01 11:00:00,0.2,1
2010-08-01 17:00:00,7.2,1
