时间,降雨量,时段
2010-07-23 00:30:00,0.5,0.15
2010-07-23 01:00:00,0.1,0.3
2010-07-23 01:42:00,0.7,0.42
2010-07-23 01:46:00,0.7,0.04
2010-07-23 02:00:00,0.2,0.14
2010-07-23 02:20:00,1.1,0.05
2010-07-23 03:00:00,0.3,0.4
2010-07-23 12:00:00,0.2,1.05
2010-07-23 13:00:00,0.3,1.0
2010-07-23 14:00:00,0.4,1.0
2010-07-23 14:10:00,0.1,0.1
2010-07-23 16:30:00,0.4,0.25
2010-07-23 17:40:00,0.6,0.07
2010-07-23 17:46:00,0.6,0.06
2010-07-23 17:53:00,1.4,0.07
2010-07-23 18:00:00,4.0,0.07
2010-07-23 18:02:00,1.9,0.02
2010-07-23 18:04:00,3.0,0.02
2010-07-23 18:10:00,2.5,0.06
2010-07-23 18:16:00,3.6,0.06
2010-07-23 18:18:00,0.9,0.02
2010-07-23 18:23:00,3.7,0.05
2010-07-23 18:33:00,0.2,0.1
2010-07-23 19:30:00,0.1,0.05
2010-07-23 21:00:00,0.2,0.05
2010-07-23 21:40:00,1.6,0.4
2010-07-23 22:00:00,1.3,0.2
2010-07-23 22:10:00,0.5,0.1
2010-07-23 22:40:00,2.3,0.3
2010-07-23 22:50:00,0.5,0.1
2010-07-23 23:00:00,1.1,0.1
2010-07-23 23:10:00,0.9,0.1
2010-07-23 23:14:00,1.1,0.04
2010-07-23 23:30:00,0.9,0.16
2010-07-24 00:00:00,0.6,0.3
2010-07-24 00:33:00,0.4,0.33
2010-07-24 01:40:00,0.3,0.25
2010-07-24 02:17:00,0.1,0.07
2010-07-24 04:20:00,0.8,0.2
2010-07-24 05:00:00,3.0,0.4
2010-07-24 05:06:00,0.3,0.06
2010-07-24 07:55:00,1.4,0.01
2010-07-24 08:40:00,0.9,0.4
2010-07-24 09:00:00,0.9,0.2
2010-07-24 09:38:00,3.0,0.38
2010-07-24 09:50:00,1.7,0.12
2010-07-24 14:00:00,0.1,0.3
2010-07-24 14:20:00,0.1,0.2
2010-07-24 22:00:00,0.6,1.0
2010-07-24 22:20:00,0.2,0.2
2010-07-24 23:30:00,0.4,0.1
2010-07-24 23:33:00,0.7,0.03
2010-07-24 23:35:00,0.8,0.02
2010-07-24 23:50:00,0.4,0.15
2010-07-25 01:00:00,0.2,0.2
2010-07-25 02:00:00,0.1,1.0
2010-07-25 02:30:00,0.1,0.3
2010-07-25 04:18:00,0.5,0.18
2010-07-25 04:44:00,0.1,0.26
2010-07-25 08:12:00,0.1,0.02
2010-07-25 12:00:00,0.4,0.04
2010-07-25 12:14:00,1.0,0.14
2010-07-25 13:10:00,0.2,0.1
2010-07-25 15:50:00,0.6,0.5
2010-07-26 08:00:00,0.1,0.1
