时间,降雨量,时段
2012-09-10 13:35:00,0.2,0.35
2012-09-10 14:30:00,0.2,0.3
2012-09-10 14:40:00,0.2,0.1
2012-09-10 14:45:00,0.4,0.05
2012-09-10 14:50:00,0.2,0.05
2012-09-10 14:55:00,0.4,0.05
2012-09-10 15:00:00,2.4,0.05
2012-09-10 15:05:00,2.2,0.05
2012-09-10 15:10:00,2.4,0.05
2012-09-10 15:15:00,1.4,0.05
2012-09-10 15:20:00,1.0,0.05
2012-09-10 15:25:00,0.4,0.05
2012-09-10 15:30:00,0.8,0.05
2012-09-10 15:35:00,0.6,0.05
2012-09-10 15:40:00,0.2,0.05
2012-09-10 15:45:00,0.4,0.05
2012-09-10 15:50:00,0.8,0.05
2012-09-10 15:55:00,0.6,0.05
2012-09-10 16:00:00,1.4,0.05
2012-09-10 16:05:00,1.2,0.05
2012-09-10 16:10:00,0.6,0.05
2012-09-10 16:15:00,0.4,0.05
2012-09-10 16:20:00,0.4,0.05
2012-09-10 16:25:00,0.4,0.05
2012-09-10 16:30:00,0.4,0.05
2012-09-10 16:35:00,1.0,0.05
2012-09-10 16:40:00,1.0,0.05
2012-09-10 16:45:00,1.0,0.05
2012-09-10 16:50:00,0.6,0.05
2012-09-10 16:55:00,0.4,0.05
2012-09-10 17:00:00,0.4,0.05
2012-09-10 17:05:00,0.4,0.05
2012-09-10 17:15:00,0.4,0.1
2012-09-10 17:20:00,0.4,0.05
2012-09-10 17:30:00,0.2,0.1
2012-09-10 17:35:00,0.2,0.05
2012-09-10 17:45:00,0.2,0.1
2012-09-10 17:50:00,0.2,0.05
2012-09-10 18:00:00,0.4,0.1
2012-09-10 18:20:00,0.2,0.2
2012-09-10 19:10:00,0.2,0.1
2012-09-10 19:20:00,0.2,0.1
2012-09-10 19:40:00,0.2,0.2
2012-09-10 19:45:00,0.2,0.05
2012-09-10 20:00:00,0.2,0.15
2012-09-10 20:20:00,0.2,0.2
2012-09-10 20:40:00,0.2,0.2
2012-09-10 21:00:00,0.2,0.2
2012-09-10 21:15:00,0.2,0.15
2012-09-10 21:25:00,0.2,0.1
2012-09-10 21:35:00,0.2,0.1
2012-09-10 21:40:00,0.2,0.05
2012-09-10 21:50:00,0.2,0.1
2012-09-10 22:00:00,0.2,0.1
2012-09-10 22:20:00,0.2,0.2
2012-09-10 22:45:00,0.2,0.25
2012-09-10 23:10:00,0.2,0.1
2012-09-10 23:25:00,0.2,0.15
2012-09-10 23:40:00,0.2,0.15
2012-09-10 23:50:00,0.2,0.1
2012-09-10 23:55:00,0.2,0.05
2012-09-11 00:00:00,0.4,0.05
2012-09-11 00:05:00,0.2,0.05
2012-09-11 00:10:00,0.4,0.05
2012-09-11 00:15:00,0.2,0.05
2012-09-11 00:20:00,0.2,0.05
2012-09-11 00:25:00,0.2,0.05
2012-09-11 00:30:00,0.2,0.05
2012-09-11 00:35:00,0.2,0.05
2012-09-11 00:40:00,0.2,0.05
2012-09-11 00:45:00,0.2,0.05
2012-09-11 00:55:00,0.2,0.1
2012-09-11 01:05:00,0.2,0.05
2012-09-11 01:10:00,0.2,0.05
2012-09-11 01:25:00,0.2,0.15
2012-09-11 01:35:00,0.2,0.1
2012-09-11 01:40:00,0.2,0.05
2012-09-11 01:50:00,0.2,0.1
2012-09-11 01:55:00,0.2,0.05
2012-09-11 02:00:00,0.4,0.05
